Households Population with No Access to Clean Water,Proportion of households with no access to clean water,KPredict
21.0,1.7,0
8.0,0.8,0
3.0,0.4,0
6.0,2.0,0
0.0,0.0,0
6.0,1.0,0
4.0,0.6,0
0.0,0.0,0
1.0,0.6,0
89.0,11.6,5
0.0,0.0,0
4.0,1.1,0
3.0,0.8,0
7.0,1.1,0
0.0,0.0,0
0.0,0.0,0
1.0,0.2,0
0.0,0.0,0
1.0,0.4,0
15.0,7.6,0
6.0,11.8,0
11.0,20.8,0
3.0,1.8,0
1.0,8.3,0
3.0,5.2,0
5.0,1.7,0
57.0,13.6,5
3.0,1.0,0
1.0,0.4,0
9.0,1.5,0
1.0,0.4,0
0.0,0.0,0
0.0,0.0,0
2.0,1.0,0
48.0,3.0,0
2.0,0.5,0
0.0,0.0,0
0.0,0.0,0
7.0,1.4,0
2.0,0.2,0
3.0,3.9,0
1009.0,67.2,3
48.0,0.9,0
184.0,3.6,2
395.0,8.2,4
97.0,4.6,5
215.0,3.2,2
40.0,1.9,0
813.0,15.5,1
199.0,4.1,2
104.0,3.4,5
658.0,17.8,1
1.0,0.6,0
34.0,2.4,0
103.0,7.6,5
293.0,4.7,2
280.0,9.2,2
512.0,8.9,4
210.0,3.9,2
392.0,9.3,4
732.0,17.4,1
