Mean Population of Poverty and Acccess to Clean Water Households,Mean Proportion of Poverty and Access to Clean Water Households,KPredict
55.0,4.55,3
87.5,8.55,3
38.5,5.6000000000000005,0
11.5,3.85,0
0.5,0.25,0
19.5,3.2,0
16.5,2.3499999999999996,0
7.5,3.3,0
4.5,2.8,0
74.5,9.7,3
2.0,3.1,0
13.5,3.75,0
19.5,5.15,0
19.5,3.05,0
0.0,0.0,0
38.5,3.45,0
9.5,1.55,0
1.5,0.9,0
2.0,0.75,0
12.0,6.1,0
4.5,8.850000000000001,0
8.0,15.100000000000001,0
4.5,2.65,0
1.0,8.3,0
3.5,6.050000000000001,0
17.5,5.8999999999999995,0
39.0,9.3,0
8.0,2.7,0
5.0,1.9,0
21.5,3.5,0
2.0,0.8,0
1.5,0.95,0
1.5,0.9,0
3.0,1.55,0
74.5,4.6,3
10.0,2.65,0
0.5,1.0,0
1.5,0.75,0
18.5,3.6500000000000004,0
15.5,1.9000000000000001,0
2.5,3.25,0
591.0,39.35,1
152.5,2.95,2
279.0,5.45,4
283.0,5.8999999999999995,4
89.5,4.25,3
160.0,2.4000000000000004,2
85.0,4.0,3
608.5,11.6,1
167.0,3.4499999999999997,2
89.5,2.95,3
507.0,13.7,1
5.5,3.0999999999999996,0
48.5,3.45,3
97.0,7.15,3
252.0,4.05,2
225.5,7.3999999999999995,2
379.0,6.6,4
201.0,3.75,2
244.0,5.800000000000001,2
616.0,14.649999999999999,1
